Row ID,OrderID,OrderDate,ShipDate,OrderPriority,ShipMode,CustomerName,Segment,City,State,Region,Product ID,Category,Sub-Category,ProductName,ProductContainer,Sales,Quantity,Discount,Profit,ShippingCost
1001,IN-2013-21024,06-02-2022,11-02-2022,Low,Regular Air,Sam Craven,Consumer,Pimpri,Maharashtra,West,OFF-BI-10004651,Office Supplies,Binders,"Cardinal Binding Machine, Clear",Small Box,98.46,2,0,45.24,6.02
1002,IN-2014-21143,25-09-2023,29-09-2023,High,Delivery Truck,Dan Campbell,Consumer,Kanpur,Uttar Pradesh,North,OFF-BI-10004105,Office Supplies,Binders,"Acco 3-Hole Punch, Recycled",Small Box,60.96,2,0,17.04,5.5
1003,IN-2013-64956,23-07-2022,29-07-2022,High,Regular Air,Richard Bierner,Consumer,Jaipur,Rajasthan,North,OFF-BI-10002682,Office Supplies,Binders,"Cardinal Binding Machine, Economy",Small Box,99.54,2,0,33.84,3.69
1004,IN-2011-24986,22-06-2020,26-06-2020,High,Regular Air,Giulietta Weimer,Small Business,Nagpur,Maharashtra,West,OFF-BI-10000871,Office Supplies,Binders,"Wilson Jones Binder Covers, Recycled",Small Box,23.1,2,0,7.14,2.46
1005,IN-2013-11721,22-04-2022,26-04-2022,Not Specified,Regular Air,Bruce Geld,Small Business,Delhi,Delhi,North,OFF-BI-10001096,Office Supplies,Binders,"Ibico Binder Covers, Durable",Small Box,30.3,2,0,10.56,2.27
1006,IN-2014-54694,01-12-2023,05-12-2023,Not Specified,Regular Air,Harry Greene,Small Business,Rajkot,Gujarat,West,OFF-BI-10001312,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear",Small Box,56.52,2,0,23.7,2.15
1007,IN-2013-53763,27-12-2022,31-12-2022,High,Regular Air,Andrew Roberts,Small Business,Durg,Chhattisgarh,Central,OFF-BI-10002386,Office Supplies,Binders,"Acco Index Tab, Clear",Small Box,17.16,2,0,2.04,1.5
1008,IN-2014-15473,02-12-2023,07-12-2023,High,Regular Air,Theone Pippenger,Small Business,Mangalore,Karnataka,South,OFF-BI-10004436,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",Small Box,14.04,2,0,0.24,0.79
1009,IN-2012-36123,26-10-2021,31-10-2021,High,Express Air,Pauline Johnson,Small Business,Hyderabad,Telangana,South,OFF-BI-10003012,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Economy",Small Box,9.06,2,0,3.84,0.79
1010,IN-2014-52818,13-12-2023,18-12-2023,Low,Regular Air,Jill Fjeld,Small Business,Pune,Maharashtra,West,OFF-BI-10001867,Office Supplies,Binders,"Acco Binder Covers, Recycled",Small Box,27.36,2,0,8.7,0.6
1011,IN-2014-50179,13-10-2023,17-10-2023,Medium,Regular Air,Jocasta Rupert,Small Business,Coimbatore,Tamil Nadu,South,OFF-BI-10002684,Office Supplies,Binders,"Avery Hole Reinforcements, Clear",Small Box,7.74,2,0,3.66,0.42
1012,IN-2014-24622,22-10-2023,28-10-2023,Medium,Regular Air,Michael Moore,Small Business,Bijapur,Karnataka,South,OFF-BI-10002885,Office Supplies,Binders,"Avery Hole Reinforcements, Recycled",Small Box,9.54,2,0,4.44,0.14
1013,IN-2012-39651,19-11-2021,25-11-2021,Not Specified,Regular Air,Trudy Schmidt,Small Business,Bhatinda,Punjab,North,OFF-AR-10002109,Office Supplies,Art,"Binney & Smith Sketch Pad, Fluorescent",Small Box,95.16,2,0,26.64,4.77
1014,IN-2014-21143,25-09-2023,29-09-2023,Not Specified,Regular Air,Dan Campbell,Small Business,Kanpur,Uttar Pradesh,North,OFF-AR-10001266,Office Supplies,Art,"Boston Canvas, Blue",Small Box,107.28,2,0,40.74,4.25
1015,IN-2012-43165,24-01-2021,30-01-2021,Not Specified,Regular Air,Magdelene Morse,Small Business,Puducherry,Puducherry,South,OFF-AR-10001329,Office Supplies,Art,"BIC Pens, Fluorescent",Small Box,31.08,2,0,9,1.83
1016,ID-2011-29389,27-09-2020,01-10-2020,Medium,Regular Air,Arthur Gainer,Small Business,Mumbai,Maharashtra,West,OFF-AR-10000989,Office Supplies,Art,"Binney & Smith Canvas, Blue",Small Box,51.36,2,0,48.3,3.76
1017,IN-2012-29130,16-06-2021,22-06-2021,Not Specified,Regular Air,Jocasta Rupert,Small Business,Kollam,Kerala,South,OFF-ST-10001290,Office Supplies,Storage,"Rogers Shelving, Single Width",Small Box,124.32,2,0,54.66,11.12
1018,IN-2013-22648,14-05-2022,20-05-2022,Critical,Delivery Truck,Sandra Flanagan,Small Business,Ratlam,Madhya Pradesh,Central,OFF-ST-10001719,Office Supplies,Storage,"Tenex Trays, Industrial",Small Box,109.38,2,0,3.24,4.72
1019,IN-2013-19337,12-06-2022,16-06-2022,Critical,Regular Air,Ben Wallace,Small Business,Bokaro,Jharkhand,East,OFF-ST-10003121,Office Supplies,Storage,"Rogers Box, Industrial",Small Box,48.9,2,0,6.84,2.46
1020,IN-2013-22648,14-05-2022,20-05-2022,Low,Regular Air,Sandra Flanagan,Small Business,Ratlam,Madhya Pradesh,Central,OFF-ST-10000327,Office Supplies,Storage,"Smead Folders, Wire Frame",Small Box,33.12,2,0,4.62,0.91
1021,IN-2011-12890,21-06-2020,25-06-2020,Low,Regular Air,Carol Triggs,Small Business,Bharatpur,Rajasthan,North,OFF-ST-10003606,Office Supplies,Storage,"Smead Box, Single Width",Small Box,21.6,2,0,5.4,0.47
1022,IN-2011-24769,05-09-2020,11-09-2020,Not Specified,Express Air,Jessica Myrick,Small Business,Solapur,Maharashtra,West,OFF-EN-10003632,Office Supplies,Envelopes,"Jiffy Mailers, Recycled",Medium Box,71.94,2,0,10.74,8.46
1023,IN-2014-41723,07-08-2023,12-08-2023,Not Specified,Regular Air,Ivan Liston,Small Business,Bhilai,Chhattisgarh,Central,OFF-EN-10001162,Office Supplies,Envelopes,"GlobeWeis Mailers, Set of 50",Medium Box,77.1,2,0,33.12,6.46
1024,IN-2012-43165,24-01-2021,30-01-2021,Low,Regular Air,Magdelene Morse,Small Business,Puducherry,Puducherry,South,OFF-EN-10002007,Office Supplies,Envelopes,"Kraft Clasp Envelope, with clear poly window",Medium Box,25.08,2,0,3.96,1.88
1025,IN-2014-12365,06-09-2023,13-09-2023,Low,Regular Air,Barry Gonzalez,Small Business,Thane,Maharashtra,West,OFF-EN-10001975,Office Supplies,Envelopes,"Kraft Business Envelopes, Security-Tint",Medium Box,32.88,2,0,4.26,1.71
1026,IN-2012-74168,20-10-2021,24-10-2021,High,Regular Air,Jessica Myrick,Small Business,Thane,Maharashtra,West,OFF-LA-10003435,Office Supplies,Labels,"Harbour Creations File Folder Labels, Laser Printer Compatible",Medium Box,17.46,2,0,6.06,1.63
1027,IN-2012-32882,17-08-2021,22-08-2021,High,Regular Air,Toby Ritter,Small Business,Kanpur,Uttar Pradesh,North,OFF-LA-10003273,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Adjustable",Medium Box,21.6,2,0,1.26,1.38
1028,IN-2011-59510,18-03-2020,23-03-2020,High,Delivery Truck,Darren Koutras,Small Business,Meerut,Uttar Pradesh,North,OFF-LA-10002272,Office Supplies,Labels,"Smead File Folder Labels, Alphabetical",Medium Box,17.4,2,0,1.38,1.36
1029,IN-2014-63766,22-11-2023,26-11-2023,Low,Regular Air,Mike Kennedy,Small Business,Mangalore,Karnataka,South,OFF-LA-10004745,Office Supplies,Labels,"Harbour Creations Shipping Labels, Adjustable",Medium Box,18.72,2,0,9.12,1.26
1030,IN-2014-28675,17-04-2023,22-04-2023,Not Specified,Regular Air,Art Ferguson,Small Business,Saharanpur,Uttar Pradesh,North,OFF-LA-10003435,Office Supplies,Labels,"Harbour Creations File Folder Labels, Laser Printer Compatible",Medium Box,17.46,2,0,6.06,1.06
1031,IN-2013-52230,09-08-2022,15-08-2022,Not Specified,Regular Air,Shahid Collister,Small Business,Chennai,Tamil Nadu,South,OFF-LA-10000707,Office Supplies,Labels,"Avery Removable Labels, Adjustable",Medium Box,17.28,2,0,0.48,0.8
1032,IN-2011-12890,21-06-2020,25-06-2020,Not Specified,Regular Air,Carol Triggs,Small Business,Bharatpur,Rajasthan,North,OFF-LA-10001764,Office Supplies,Labels,"Avery Round Labels, Adjustable",Medium Box,10.08,2,0,0.48,0.48
1033,IN-2011-78823,15-09-2020,20-09-2020,High,Regular Air,Max Engle,Small Business,Raipur,Chhattisgarh,Central,OFF-FA-10000577,Office Supplies,Fasteners,"Stockwell Push Pins, 12 Pack",Jumbo Drum,26.82,2,0,13.38,2.49
1034,IN-2013-18707,18-09-2022,24-09-2022,High,Regular Air,Jamie Frazer,Small Business,Indore,Madhya Pradesh,Central,OFF-SU-10004872,Office Supplies,Supplies,"Elite Letter Opener, Easy Grip",Wrap Bag,57.84,2,0,15,5.33
1035,IN-2012-43165,24-01-2021,30-01-2021,Low,Regular Air,Magdelene Morse,Small Business,Puducherry,Puducherry,South,OFF-SU-10000970,Office Supplies,Supplies,"Elite Box Cutter, Easy Grip",Wrap Bag,73.02,2,0,9.48,2.75
1036,IN-2013-46252,01-05-2022,05-05-2022,Critical,Delivery Truck,Zuschuss Carroll,Small Business,Tiruppur,Tamil Nadu,South,OFF-PA-10000776,Office Supplies,Paper,"Xerox Cards & Envelopes, Premium",Wrap Bag,89.94,2,0,42.24,5.51
1037,IN-2013-11518,31-12-2022,04-01-2023,High,Regular Air,Ralph Ritter,Small Business,Kozhikode,Kerala,South,OFF-PA-10003969,Office Supplies,Paper,"Green Bar Note Cards, 8.5 x 11",Wrap Bag,59.4,2,0,26.1,5.17
1038,IN-2014-69856,17-06-2023,23-06-2023,High,Delivery Truck,Arthur Gainer,Small Business,Lucknow,Uttar Pradesh,North,OFF-PA-10004187,Office Supplies,Paper,"Xerox Message Books, Multicolor",Wrap Bag,43.56,2,0,2.58,4.38
1039,IN-2014-52818,13-12-2023,18-12-2023,High,Regular Air,Jill Fjeld,Small Business,Pune,Maharashtra,West,OFF-PA-10003938,Office Supplies,Paper,"Eaton Cards & Envelopes, Premium",Wrap Bag,90.36,2,0,19.86,4.13
1040,IN-2014-45426,07-04-2023,11-04-2023,Not Specified,Delivery Truck,Lisa DeCherney,Small Business,Kukatpalli,Telangana,South,OFF-PA-10004185,Office Supplies,Paper,"SanDisk Message Books, Recycled",Wrap Bag,47.46,2,0,14.22,3.84
